method,frame,domain,snr_db,ber,bler,throughput,update_loss,update_ms,update_samples,weight_drift
static,0,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,1,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,2,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,3,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,4,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,5,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,6,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,7,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,8,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,9,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,10,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,11,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,12,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,13,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,14,source,18,0.0,0.0,1.0,0.0,0.0,0,0.0
static,15,phase_shift,13,0.2943722943722944,1.0,0.0,0.0,0.0,0,0.0
static,16,phase_shift,13,0.29004329004329005,1.0,0.0,0.0,0.0,0,0.0
static,17,phase_shift,13,0.30303030303030304,1.0,0.0,0.0,0.0,0,0.0
static,18,phase_shift,13,0.36363636363636365,1.0,0.0,0.0,0.0,0,0.0
static,19,phase_shift,13,0.329004329004329,1.0,0.0,0.0,0.0,0,0.0
static,20,phase_shift,13,0.26406926406926406,1.0,0.0,0.0,0.0,0,0.0
static,21,phase_shift,13,0.2987012987012987,1.0,0.0,0.0,0.0,0,0.0
static,22,phase_shift,13,0.3116883116883117,1.0,0.0,0.0,0.0,0,0.0
static,23,phase_shift,13,0.30303030303030304,1.0,0.0,0.0,0.0,0,0.0
static,24,phase_shift,13,0.354978354978355,1.0,0.0,0.0,0.0,0,0.0
static,25,phase_shift,13,0.29004329004329005,1.0,0.0,0.0,0.0,0,0.0
static,26,phase_shift,13,0.23809523809523808,1.0,0.0,0.0,0.0,0,0.0
static,27,phase_shift,13,0.33766233766233766,0.875,0.125,0.0,0.0,0,0.0
static,28,phase_shift,13,0.3116883116883117,1.0,0.0,0.0,0.0,0,0.0
static,29,phase_shift,13,0.3593073593073593,1.0,0.0,0.0,0.0,0,0.0
static,30,deep_shift,9,0.24675324675324675,1.0,0.0,0.0,0.0,0,0.0
static,31,deep_shift,9,0.341991341991342,1.0,0.0,0.0,0.0,0,0.0
static,32,deep_shift,9,0.2857142857142857,1.0,0.0,0.0,0.0,0,0.0
static,33,deep_shift,9,0.31601731601731603,1.0,0.0,0.0,0.0,0,0.0
static,34,deep_shift,9,0.27705627705627706,1.0,0.0,0.0,0.0,0,0.0
static,35,deep_shift,9,0.26406926406926406,1.0,0.0,0.0,0.0,0,0.0
static,36,deep_shift,9,0.329004329004329,1.0,0.0,0.0,0.0,0,0.0
static,37,deep_shift,9,0.2857142857142857,1.0,0.0,0.0,0.0,0,0.0
static,38,deep_shift,9,0.2727272727272727,1.0,0.0,0.0,0.0,0,0.0
static,39,deep_shift,9,0.2727272727272727,0.875,0.125,0.0,0.0,0,0.0
static,40,deep_shift,9,0.2987012987012987,1.0,0.0,0.0,0.0,0,0.0
static,41,deep_shift,9,0.2683982683982684,1.0,0.0,0.0,0.0,0,0.0
static,42,deep_shift,9,0.30303030303030304,1.0,0.0,0.0,0.0,0,0.0
static,43,deep_shift,9,0.3116883116883117,1.0,0.0,0.0,0.0,0,0.0
static,44,deep_shift,9,0.2683982683982684,0.875,0.125,0.0,0.0,0,0.0
pilot,0,source,18,0.0,0.0,1.0,0.37174408068486964,0.23328999986915733,25,0.010535686987069604
pilot,1,source,18,0.0,0.0,1.0,0.3435473004046329,0.10337499998058775,25,0.020929829687845417
pilot,2,source,18,0.0,0.0,1.0,0.35026683825539484,0.10324499999114778,25,0.03102692244079946
pilot,3,source,18,0.0,0.0,1.0,0.336300976051362,0.1024340003823454,25,0.04110781846894525
pilot,4,source,18,0.0,0.0,1.0,0.3400308732815339,0.09652500011725351,25,0.051065563572980144
pilot,5,source,18,0.0,0.0,1.0,0.33753619393500306,0.10465700006534462,25,0.06108822282992859
pilot,6,source,18,0.0,0.0,1.0,0.331513281815444,0.12466699990909547,25,0.07093071961465525
pilot,7,source,18,0.0,0.0,1.0,0.32485460245969433,0.0967050000326708,25,0.08071827016373917
pilot,8,source,18,0.0,0.0,1.0,0.33083627019342626,0.09187800014842651,25,0.09042411483776502
pilot,9,source,18,0.0,0.0,1.0,0.32716392260694116,0.1316879997830256,25,0.10015769999629513
pilot,10,source,18,0.0,0.0,1.0,0.3224021104066399,0.09486299995842273,25,0.10975138927020629
pilot,11,source,18,0.0,0.0,1.0,0.31777441403834494,0.09402099976796308,25,0.11928411765860764
pilot,12,source,18,0.0,0.0,1.0,0.3210444565022654,0.09206899994751438,25,0.1286879950923253
pilot,13,source,18,0.0,0.0,1.0,0.3212685518291922,0.10420700027680141,25,0.1380754967246791
pilot,14,source,18,0.0,0.0,1.0,0.3109859353821384,0.09551299990562256,25,0.14741516112253672
pilot,15,phase_shift,13,0.2857142857142857,1.0,0.0,0.935837808838034,0.09391999992658384,25,0.15211146172176046
pilot,16,phase_shift,13,0.2554112554112554,1.0,0.0,1.0963291315415555,0.09820700006457628,25,0.1587012993549398
pilot,17,phase_shift,13,0.18614718614718614,1.0,0.0,0.9016939393972266,0.12449699988792418,25,0.1693085880757944
pilot,18,phase_shift,13,0.17316017316017315,0.875,0.125,0.7436125337804808,0.16366600038963952,25,0.18177625904308428
pilot,19,phase_shift,13,0.16883116883116883,1.0,0.0,0.699829570725745,0.0994799997897644,25,0.19464742961511372
pilot,20,phase_shift,13,0.11255411255411256,1.0,0.0,0.7068216252668549,0.09339000007457798,25,0.20679349510026285
pilot,21,phase_shift,13,0.12554112554112554,0.75,0.25,0.8381561009649607,0.09060599995791563,25,0.22049565638969681
pilot,22,phase_shift,13,0.12987012987012986,1.0,0.0,0.6809015667639089,0.12021000020467909,25,0.23317810605532072
pilot,23,phase_shift,13,0.11255411255411256,0.875,0.125,0.6583008442126582,0.09037499967234908,25,0.24666125613588052
pilot,24,phase_shift,13,0.14285714285714285,1.0,0.0,0.8059638778172287,0.08808200027488056,25,0.26027070930432356
pilot,25,phase_shift,13,0.08658008658008658,1.0,0.0,0.44742916672835276,0.08765099983065738,25,0.2720834872648364
pilot,26,phase_shift,13,0.06493506493506493,0.875,0.125,0.8419697345910262,0.12418699998306693,25,0.286857230420388
pilot,27,phase_shift,13,0.08658008658008658,0.875,0.125,0.6212870401009503,0.09070599980987026,25,0.29906949064724137
pilot,28,phase_shift,13,0.14285714285714285,0.875,0.125,0.9578047534886315,0.09457200030738022,25,0.3131390559516881
pilot,29,phase_shift,13,0.12554112554112554,0.875,0.125,0.9703564499726721,0.09367000029669725,25,0.32804925130364526
pilot,30,deep_shift,9,0.5411255411255411,1.0,0.0,0.8536821339069391,0.09278900006393087,25,0.3111211993891805
pilot,31,deep_shift,9,0.5930735930735931,1.0,0.0,0.8136436749923974,0.099800000043615,25,0.29581771936258244
pilot,32,deep_shift,9,0.5151515151515151,1.0,0.0,0.6948215499506777,0.15552299964838312,25,0.2861684877788092
pilot,33,deep_shift,9,0.5411255411255411,1.0,0.0,0.6372924087704912,0.10199300004387624,25,0.2783341459736849
pilot,34,deep_shift,9,0.41125541125541126,1.0,0.0,1.028585732250885,0.09279899995817686,25,0.2723232073147322
pilot,35,deep_shift,9,0.45454545454545453,1.0,0.0,0.8697405855055607,0.09045599972523632,25,0.266552714806575
pilot,36,deep_shift,9,0.4025974025974026,1.0,0.0,0.6142964298308936,0.1151429996752995,25,0.2640449152496022
pilot,37,deep_shift,9,0.354978354978355,1.0,0.0,0.7781498676777865,0.09193799996864982,25,0.26300349236687465
pilot,38,deep_shift,9,0.35064935064935066,1.0,0.0,1.0741141445393496,0.09380999972563586,25,0.26111933272537
pilot,39,deep_shift,9,0.3333333333333333,1.0,0.0,0.8739590505846,0.09047599996847566,25,0.2619669519797521
pilot,40,deep_shift,9,0.30303030303030304,1.0,0.0,0.8706121003020337,0.1145319997704064,25,0.2651257872090711
pilot,41,deep_shift,9,0.2554112554112554,1.0,0.0,0.8274901058085133,0.09040500026458176,25,0.26978956868316395
pilot,42,deep_shift,9,0.24242424242424243,1.0,0.0,0.7656852195256434,0.09213800012730644,25,0.27448649647485024
pilot,43,deep_shift,9,0.19480519480519481,1.0,0.0,0.5608504480679524,0.0952229997892573,25,0.279488094738681
pilot,44,deep_shift,9,0.23376623376623376,0.875,0.125,0.9313728573274941,0.09482299992669141,25,0.2859909226112495
hybrid,0,source,18,0.0,0.0,1.0,0.37174408068486964,0.18111099961970467,25,0.010535370153440509
hybrid,1,source,18,0.0,0.0,1.0,0.3435476270978915,0.09813700035010697,25,0.020927943873043118
hybrid,2,source,18,0.0,0.0,1.0,0.3502678885777876,0.09634500020183623,25,0.031022248178604064
hybrid,3,source,18,0.0,0.0,1.0,0.33630315684577505,0.12699000035354402,25,0.04109917606373553
hybrid,4,source,18,0.0,0.0,1.0,0.3400345360780955,0.09077599997908692,25,0.05105178130914971
hybrid,5,source,18,0.0,0.0,1.0,0.337541785157885,0.09656500014898484,25,0.06106815397164462
hybrid,6,source,18,0.0,0.0,1.0,0.33152101594936007,0.11840800016216235,25,0.07090323246366148
hybrid,7,source,18,0.0,0.0,1.0,0.3248648956324899,0.09077599997908692,25,0.08068225054510494
hybrid,8,source,18,0.0,0.0,1.0,0.3308494071470095,0.1087129999177705,25,0.09037846251680783
hybrid,9,source,18,0.0,0.0,1.0,0.32718040902700546,0.2533100000619015,25,0.10010132205536926
hybrid,10,source,18,0.0,0.0,1.0,0.32242195506848026,0.09643500015954487,25,0.10968321726462524
hybrid,11,source,18,0.0,0.0,1.0,0.3177980232395266,0.1005809999696794,25,0.11920312095555038
hybrid,12,source,18,0.0,0.0,1.0,0.3210719915379519,0.0943820000429696,25,0.1285931241197841
hybrid,13,source,18,0.0,0.0,1.0,0.32130052111232643,0.09044500029631308,25,0.13796572644833505
hybrid,14,source,18,0.0,0.0,1.0,0.3110225234278206,0.09207799985233578,25,0.14728949183512646
hybrid,15,phase_shift,13,0.2857142857142857,1.0,0.0,0.9011761960794971,0.09803700004340499,26,0.15178647753369606
hybrid,16,phase_shift,13,0.2554112554112554,1.0,0.0,0.9505339631102431,0.14702099997521145,29,0.1573157791886161
hybrid,17,phase_shift,13,0.19047619047619047,1.0,0.0,0.7137107543983616,0.10148299998036237,32,0.16540365698672618
hybrid,18,phase_shift,13,0.1774891774891775,0.875,0.125,0.6290196412371153,0.1022830001602415,30,0.17553539064347315
hybrid,19,phase_shift,13,0.18181818181818182,1.0,0.0,0.486286955214769,0.10610900017127278,37,0.18437068994872105
hybrid,20,phase_shift,13,0.12121212121212122,1.0,0.0,0.5329047201914173,0.10493699983271654,34,0.19343885710689457
hybrid,21,phase_shift,13,0.13852813852813853,0.875,0.125,0.599674513182035,0.14476699971055496,36,0.2029018891622022
hybrid,22,phase_shift,13,0.12987012987012986,1.0,0.0,0.4428657665204284,0.10707100000217906,40,0.21125933025292606
hybrid,23,phase_shift,13,0.12121212121212122,0.875,0.125,0.41127160599910406,0.10705000022426248,42,0.21985369554967665
hybrid,24,phase_shift,13,0.16017316017316016,1.0,0.0,0.42604809667572063,0.11590400026761927,50,0.22719460725482765
hybrid,25,phase_shift,13,0.09956709956709957,1.0,0.0,0.29718082502984233,0.1013520000014978,40,0.2356824573863157
hybrid,26,phase_shift,13,0.08225108225108226,0.875,0.125,0.5815532741636994,0.09961899968402577,38,0.24564814938580812
hybrid,27,phase_shift,13,0.1038961038961039,0.875,0.125,0.42100560030571355,0.10420699982205406,39,0.25437798334666756
hybrid,28,phase_shift,13,0.15151515151515152,0.875,0.125,0.48162060080070224,0.14691099977426347,53,0.26143614908403395
hybrid,29,phase_shift,13,0.13852813852813853,0.875,0.125,0.5504528899472135,0.1350820002699038,47,0.2695714181484131
hybrid,30,deep_shift,9,0.48917748917748916,1.0,0.0,0.46911770538967706,0.11606399993979721,45,0.2616561289370489
hybrid,31,deep_shift,9,0.5497835497835498,1.0,0.0,0.5727057271898008,0.14379499998540268,35,0.2517966621938695
hybrid,32,deep_shift,9,0.48484848484848486,1.0,0.0,0.5713276958013085,0.10543799999140901,30,0.2448065129698651
hybrid,33,deep_shift,9,0.5151515151515151,1.0,0.0,0.4945415064413912,0.09796699987418833,32,0.2397070742781333
hybrid,34,deep_shift,9,0.3939393939393939,1.0,0.0,0.9251172589297666,0.12535799987745122,28,0.2337865255157052
hybrid,35,deep_shift,9,0.42424242424242425,1.0,0.0,0.8648271215562062,0.09234900016963365,25,0.22837100062570745
hybrid,36,deep_shift,9,0.3939393939393939,1.0,0.0,0.5835105374759291,0.09365000005345792,26,0.2272977546813331
hybrid,37,deep_shift,9,0.354978354978355,1.0,0.0,0.7745314220447896,0.09663500031820149,25,0.22720787723313682
hybrid,38,deep_shift,9,0.329004329004329,1.0,0.0,1.0730172557978026,0.09105700019063079,25,0.22582701478971143
hybrid,39,deep_shift,9,0.30735930735930733,1.0,0.0,0.8708888457244435,0.09416200009582099,25,0.22780262921351557
hybrid,40,deep_shift,9,0.30303030303030304,1.0,0.0,0.8686669747489877,0.09632499995859689,25,0.23226270654485792
hybrid,41,deep_shift,9,0.2597402597402597,1.0,0.0,0.825185851719587,0.09872800001176074,25,0.23842448450125367
hybrid,42,deep_shift,9,0.23376623376623376,1.0,0.0,0.7610770247397464,0.16007999965950148,25,0.24484702656719098
hybrid,43,deep_shift,9,0.20346320346320346,1.0,0.0,0.5527168570681752,0.09583400014889776,25,0.2518665875480519
hybrid,44,deep_shift,9,0.2077922077922078,0.875,0.125,0.9312693577639815,0.09198799989462714,25,0.2594731660518288
